first,sex,occurences,year
Mary,F,61750,1956
Debra,F,48299,1956
Linda,F,48065,1956
Deborah,F,47831,1956
Susan,F,46567,1956
Patricia,F,43328,1956
Karen,F,40042,1956
Cynthia,F,32341,1956
Barbara,F,32303,1956
Donna,F,29852,1956
Nancy,F,28784,1956
Pamela,F,26914,1956
Sharon,F,26882,1956
Sandra,F,24293,1956
Diane,F,22511,1956
Carol,F,21402,1956
Kathleen,F,21370,1956
Cheryl,F,21278,1956
Brenda,F,19340,1956
Kathy,F,17171,1956
Janet,F,16763,1956
Elizabeth,F,16340,1956
Denise,F,14506,1956
Teresa,F,14465,1956
Margaret,F,13914,1956
Janice,F,13013,1956
Rebecca,F,12171,1956
Catherine,F,12067,1956
Robin,F,11616,1956
Joyce,F,11092,1956
Lisa,F,11016,1956
Theresa,F,10841,1956
Carolyn,F,10639,1956
Laura,F,10568,1956
Judy,F,10193,1956
Cathy,F,10135,1956
Cindy,F,9986,1956
Kim,F,9892,1956
Debbie,F,9865,1956
Beverly,F,9452,1956
Shirley,F,9425,1956
Christine,F,9376,1956
Connie,F,9362,1956
Betty,F,9214,1956
Judith,F,9110,1956
Ann,F,8984,1956
Paula,F,8923,1956
Julie,F,8573,1956
Gail,F,8438,1956
Jane,F,8245,1956
Bonnie,F,8133,1956
Joan,F,8078,1956
Gloria,F,7923,1956
Sherry,F,7896,1956
Sheila,F,7870,1956
Diana,F,7852,1956
Vicki,F,7761,1956
Lynn,F,7735,1956
Martha,F,7708,1956
Kathryn,F,7589,1956
Wanda,F,7551,1956
Rhonda,F,7524,1956
Peggy,F,7490,1956
Rose,F,7340,1956
Jean,F,7175,1956
Lori,F,7143,1956
Katherine,F,7080,1956
Vickie,F,6961,1956
Jo,F,6955,1956
Marilyn,F,6926,1956
Darlene,F,6915,1956
Dorothy,F,6857,1956
Kimberly,F,6732,1956
Maria,F,6732,1956
Virginia,F,6388,1956
Laurie,F,6202,1956
Ruth,F,6075,1956
Jacqueline,F,6069,1956
Rita,F,6052,1956
Valerie,F,5916,1956
Terri,F,5747,1956
Phyllis,F,5649,1956
Anita,F,5500,1956
Ellen,F,5433,1956
Victoria,F,5385,1956
Anne,F,5353,1956
Michelle,F,5329,1956
Tina,F,5327,1956
Elaine,F,5311,1956
Helen,F,5276,1956
Terry,F,5271,1956
Dawn,F,5127,1956
Angela,F,5030,1956
Suzanne,F,5024,1956
Wendy,F,4861,1956
Marie,F,4796,1956
Jennifer,F,4707,1956
Alice,F,4680,1956
Joanne,F,4670,1956
Michele,F,4614,1956
Jill,F,4577,1956
Maureen,F,4504,1956
Anna,F,4386,1956
Leslie,F,4386,1956
Sally,F,4344,1956
Renee,F,4333,1956
Frances,F,4323,1956
Sylvia,F,4145,1956
Doris,F,4094,1956
Marcia,F,4063,1956
Stephanie,F,3915,1956
Jeanne,F,3909,1956
Colleen,F,3895,1956
Sheryl,F,3893,1956
Sarah,F,3869,1956
Roberta,F,3868,1956
Beth,F,3798,1956
Annette,F,3755,1956
Sue,F,3753,1956
Evelyn,F,3744,1956
Yvonne,F,3585,1956
Amy,F,3550,1956
Eileen,F,3447,1956
Regina,F,3426,1956
Lorraine,F,3425,1956
Loretta,F,3407,1956
Andrea,F,3393,1956
Gwendolyn,F,3379,1956
Marsha,F,3328,1956
Julia,F,3321,1956
Carla,F,3317,1956
Charlene,F,3277,1956
Charlotte,F,3268,1956
Glenda,F,3241,1956
Lois,F,3221,1956
Jan,F,3199,1956
Dianne,F,3069,1956
Norma,F,3047,1956
Joann,F,2996,1956
Joy,F,2822,1956
Constance,F,2820,1956
Melinda,F,2714,1956
Melanie,F,2694,1956
Becky,F,2688,1956
Vanessa,F,2619,1956
Vicky,F,2611,1956
Doreen,F,2572,1956
Vivian,F,2559,1956
Audrey,F,2543,1956
Melissa,F,2526,1956
Toni,F,2508,1956
Juanita,F,2472,1956
Patti,F,2422,1956
Kay,F,2392,1956
Melody,F,2388,1956
Lynne,F,2371,1956
Janis,F,2362,1956
Penny,F,2345,1956
Irene,F,2340,1956
Jeanette,F,2338,1956
Debora,F,2327,1956
Holly,F,2324,1956
Gayle,F,2288,1956
Yolanda,F,2272,1956
Louise,F,2238,1956
Carmen,F,2203,1956
Belinda,F,2189,1956
Rosa,F,2173,1956
Monica,F,2160,1956
Marlene,F,2127,1956
Roxanne,F,2112,1956
Christina,F,2111,1956
Annie,F,2110,1956
Dana,F,2074,1956
Geraldine,F,2063,1956
Rosemary,F,2062,1956
Sherri,F,2038,1956
Sara,F,2004,1956
Ruby,F,1992,1956
Jackie,F,1984,1956
Gina,F,1958,1956
June,F,1952,1956
Shelia,F,1949,1956
Lee,F,1936,1956
Eva,F,1925,1956
Claudia,F,1916,1956
Marjorie,F,1882,1956
Delores,F,1847,1956
Grace,F,1836,1956
Veronica,F,1818,1956
Arlene,F,1807,1956
Patsy,F,1801,1956
Lynda,F,1759,1956
Jody,F,1747,1956
Sheri,F,1716,1956
Shelley,F,1680,1956
Rachel,F,1670,1956
Dolores,F,1660,1956
Ramona,F,1646,1956
Mildred,F,1638,1956
Lillian,F,1628,1956
Marianne,F,1616,1956
Teri,F,1599,1956
Joni,F,1576,1956
Edna,F,1547,1956
Lydia,F,1546,1956
Marla,F,1533,1956
Carrie,F,1530,1956
Esther,F,1510,1956
Josephine,F,1486,1956
Edith,F,1477,1956
Jayne,F,1471,1956
Patty,F,1445,1956
Carole,F,1418,1956
Janie,F,1412,1956
Candace,F,1403,1956
Jacquelyn,F,1395,1956
Karla,F,1390,1956
Tracy,F,1388,1956
Sheree,F,1373,1956
Pauline,F,1369,1956
Lucy,F,1363,1956
Heidi,F,1352,1956
Priscilla,F,1352,1956
Dianna,F,1344,1956
Emma,F,1342,1956
Sherrie,F,1333,1956
Nina,F,1325,1956
Georgia,F,1305,1956
Emily,F,1283,1956
Margie,F,1269,1956
Marian,F,1249,1956
Bobbie,F,1239,1956
Paulette,F,1234,1956
Robyn,F,1227,1956
April,F,1212,1956
Darla,F,1209,1956
Deanna,F,1208,1956
Luann,F,1201,1956
Mona,F,1187,1956
Laurel,F,1182,1956
Bonita,F,1175,1956
Nora,F,1170,1956
Gladys,F,1169,1956
Vera,F,1152,1956
Jeannie,F,1149,1956
Clara,F,1147,1956
Lynette,F,1138,1956
Billie,F,1126,1956
Sandy,F,1125,1956
Cathleen,F,1115,1956
Marion,F,1103,1956
Wilma,F,1081,1956
Gale,F,1078,1956
Ethel,F,1076,1956
Thelma,F,1074,1956
Therese,F,1069,1956
Betsy,F,1065,1956
Lou,F,1064,1956
Maryann,F,1048,1956
Lucille,F,1046,1956
Eleanor,F,1044,1956
Cheri,F,1042,1956
Miriam,F,1042,1956
